Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"Mouse Gamer Ocelot Gaming Óptico Techno Black, Alámbrico, USB, 7200DPI, Negro",OCM TECHNO BLACK,$279.00,$156.00,$99.00,1369
"Teclado Gamer Ocelot Gaming OGEK03 RGB, Alámbrico, Negro (Español)",OGEK03,$319.00,$193.00,$99.00,5662
"SSD Gigabyte GP-GSTFS31240GNTD, 240GB, SATA III, 2.5'', 7mm",GP-GSTFS31240GNTD,$513.00,$334.00,$99.00,109
"Monitor LG DualUp Ergo LED 27.6"", Quad HD, Ultra Tall, 60Hz,  HDMI, Bocinas Integradas (2 x 7W), Negro",28MQ780-B,"$15,029.00","$8,949.00",$179.00,3
"Teclado Gamer Ocelot Gaming OK-M60 RGB 60%, Alámbrico, Negro (Español)",OK-M60,$349.00,$218.00,$99.00,1399
"Logitech Webcam HD Pro C920s con Micrófono, Full HD, 1920 x 1080 Pixeles, USB 2.0, Negro",960-001257,"$1,702.00","$1,179.00",$99.00,429
"SSD XPG SPECTRIX S20G, 500GB, PCI Express 3.0, M.2",ASPECTRIXS20G-500G-C,$567.00,$409.00,$99.00,22
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Menta",910-006377,"$1,253.00",$729.00,$99.00,12
"Memoria RAM XPG Spectrix D60G RGB DDR4, 3600MHz, 8GB, Non-ECC, CL19, XMP",AX4U36008G18I-ST60,$673.00,$469.00,$99.00,6
"Teclado Gamer Ocelot Gaming Mech 2 RGB, Teclado Mecánico, Switch Red, Alámbrico, Negro (Español)",OK-BLACK MECH 2,$654.00,$246.00,$99.00,989
"SSD Western Digital WD Blue SA510, 500GB, SATA III, 2.5"", 7mm",WDS500G3B0A,$989.00,$639.00,$99.00,226
"ASUS Webcam C3, Full HD1920 x 1080 Pixeles, Inclinación 90°, USB 2.0, Negro, Compatible con Skype/Microsoft Teams/Zoom",90YH0340-B2UA00,$914.00,$589.00,$99.00,15
"Logitech Audífonos Gamer G332, Alámbrico, 2 Metros, 3.5mm, Negro/Rojo",981-000755,"$1,294.00",$879.00,$99.00,2
"SSD HP EX950, 512GB, PCI Express 3.0, M.2",5MS22AA,"$1,203.00",$639.00,$99.00,37
"SSD Western Digital WD Blue SN570 NVMe, 500GB, PCI Express 3.0, M.2 ― Incluye Membresía 1 Mes de Adobe Creative Cloud",WDS500G3B0C,$675.00,$519.00,$99.00,72
"Disipador CPU Cooler Master Hyper 212 ARGB, 120mm, 650-1800RPM, Negro ― Requiere Bracket 603005420-GP para Socket S-1700 de Procesadores Intel 12va. Generación o Superior",RR-2V2L-18PA-R1,$789.00,$549.00,$99.00,59
"Mouse Gamer Logitech Óptico G203 LightSync, Alámbrico, USB, 8000DPI, Azul",910-005795,$495.00,$364.00,$99.00,2
"Logitech Audífonos Gamer G635 7.1, Alámbrico, 1.5 Metros, 3.5mm, Negro/Azul",981-000748,"$2,713.00","$1,879.00",$99.00,2
"SSD XPG GAMMIX S41 3D NAND, 256GB, PCI Express, M.2",AGAMMIXS41-256G-C,$575.00,$425.00,$99.00,2
"Logitech Webcam HD Pro Stream C922, 1920x1080 Pixeles, USB, Negro",960-001087,"$2,319.00","$1,609.00",$99.00,34
"SSD HP EX900, 1TB, PCI Express 3.0, M.2",5XM46AA,"$1,115.00",$619.00,$99.00,1025
"Memoria RAM XPG SPECTRIX D50 RGB Titanio DDR4, 4133MHz, 8GB, Non-ECC, CL19, XMP, Gris",AX4U41338G19J-ST50,"$1,016.00",$629.00,$99.00,¡1
"Dell Mochila ES1520P para Laptop 15"", Negro",460-BCTJ,$611.00,$409.00,$99.00,945
"Monitor LG 29WP500-B LCD 29"", Full HD, UltraWide, FreeSync, 75Hz, HDMI, Negro",29WP500-B,"$4,962.00","$3,839.00",$164.00,81
"SSD PNY CS900, 1TB, SATA III, 2.5'', 7mm",D7CS900-1TB-RB,$914.00,$669.00,$99.00,69
"Memoria RAM HPE DDR4, 2933MHz, 16GB, CL21, Dual Rank x8",P00922-B21,"$13,644.00","$4,039.00",$99.00,26
"Teclado Gamer Ocelot Gaming OGMK03 RGB, Teclado Mecánico, Switch Blue, Alámbrico, Negro (Español)",OGMK03,$499.00,$361.00,$99.00,65
"Logitech Teclado Gamer G Pro RGB, Mecánico, Switch GX Blue, Alámbrico, Negro (Inglés)",920-009388,"$2,581.00","$1,929.00",$99.00,¡1
"SSD Adata Legend 700 NVMe, 1TB, PCI Express 3.0, M.2",ALEG-700-1TCS,$768.00,$619.00,$99.00,16
"Cartucho Brother LC107BK Negro, 1200 Páginas",LC107BK,$562.00,$282.00,$99.00,¡1
"Mouse Gamer Logitech Óptico Pro X Superlight, Inalámbrico, Lightspeed, USB A, 25.400DPI, Negro",910-005879,"$2,575.00","$1,999.00",$99.00,2
"Logitech Audífonos Gamer G335 para PC/Xbox/PS4/Nintendo Switch, Alámbrico, 3.5mm, Menta",981-001023,"$1,433.00",$919.00,$99.00,¡1
"SSD Western Digital WD Green SN350 NVMe, 1TB, PCI Express, M.2",WDS100T3G0C,$860.00,$689.00,$99.00,250
"Apple AirPods (2da. Generación), Inalámbrico, Bluetooth, Blanco - incluye Estuche de Carga Alámbrico",MV7N2BE/A,"$3,999.00","$3,089.00",Envío gratis,146
"Teclado Logitech K380, Inalámbrico, Bluetooth, Rosa (Español)",920-009594,$786.00,$599.00,$99.00,26
"Procesador Intel Core i7-12700K Intel UHD Graphics 770, S-1700, 3.60GHz, 12-Core, 25MB Smart Cache (12va. Generación - Alder Lake)",BX8071512700K,"$7,880.00","$5,999.00",$99.00,46
"Epcom Micrófono Omnidireccional en Sensor de Humo, Alámbrico, 1000 Ohmios",MIC-602A,$321.00,$179.00,$99.00,156
"Nexxt Solutions Foco LED Inteligente NHB-W310, WiFi, Luz Fria/Cálida, 4W, 400 Lúmenes, Ahorro de 87% vs Foco Tradicional 40W - 3 Piezas",NHB-W310 3PK,$720.00,$422.00,$99.00,17
"SSD Western Digital WD Blue SA510, 1TB, SATA III, 2.5'', 7mm",WDS100T3B0A,"$1,510.00","$1,019.00",$99.00,94
"Teclado Gamer Ocelot Gaming OGMK01 RGB, Teclado Mecánico, Switch Azul, Alámbrico, Negro (Español)",OGMK01,$569.00,$429.00,$99.00,911
"SSD Adata FALCON NVMe, 512GB, PCI Express 3.0, M.2",AFALCON-512G-C,$666.00,$509.00,$99.00,74
"ASUS Audífonos Gamer TUF Gaming H3 7.1, Alámbrico, 1.3 Metros + 1.3 Metros de Extensión, 3.5mm, Negro/Gris",90YH028G-B1UA00,$976.00,$749.00,$99.00,¡1
"Beats by Dr. Dre Audífonos Beats Solo3 Wireless, Bluetooth, Negro",MX432LL/A,"$4,499.00","$2,719.00",$99.00,64
"Kit de Teclado y Mouse Cooler Master Devastator 3 Plus, Alámbrico, USB, Negro (Español)",GB-3001-KKMF1-LS,$673.00,$463.00,$99.00,251
"Logitech Audífonos Gamer G433 7.1 para Xbox/PS4/Nintendo Switch, Alámbrico, 2 Metros, 3.5mm, Negro",981-000667,"$2,212.00","$1,609.00",$99.00,19
"Logitech Kit Volante Driving Force G29, Alámbrico, USB 2.0, para PC/PlayStation 3/4",941-000111,"$5,299.00","$3,789.00",$149.00,9
"Gabinete ASUS TUF Gaming GT301 con Ventana, Midi-Tower, ATX/Micro-ATX/Mini-ATX, USB 3.2, sin Fuente, 4 Ventiladores Instalados, Negro",90DC0040-B49000,"$2,262.00","$1,749.00",$159.00,14
"Immortal Gaming Gamepad para Celular IMCG01 con Ventiladores y Gatillos, Negro",IMCG01,$399.00,$193.00,$99.00,43
"Tablet Ghia Vector Slim 10.1”, 16GB, Android 10 Go Edition , Negro",GTVR10SB,"$2,229.00","$1,329.00",$99.00,76
"Yeyian Audífonos Gamer Proud Series 3500 para Xbox One/PS4, Alámbrico, 1.8 Metros, 3.5 mm, Blanco",YDG-33406,$524.00,$408.00,$99.00,845
"Monitor Acteck 933858 LED 21.5"", Full HD, 75Hz, HDMI, Negro",AC-933858,"$1,727.00","$1,459.00",$144.00,17
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Lila",910-006021,"$1,253.00",$989.00,$99.00,10
"SSD Western Digital WD_Black SN770 NVMe, 500GB, PCI Express 4.0, M.2",WDS500G3X0E,$847.00,$669.00,$99.00,53
"Teclado Logitech Mx Keys Mini, Inalámbrico, RF Wireless/Bluetooth, Rosa (Español)",920-010478,"$1,869.00","$1,229.00",$99.00,26
"Monitor Curvo Samsung LC34J791WTLXZX QLED 34'', Quad HD, Ultra Wide, FreeSync, 100Hz, HDMI, Bocinas Integradas, Gris Claro",LC34J791WTLXZX,"$17,138.00","$12,519.00",$189.00,45
"Monitor Dell E1916HV LED 18.51'', HD, VGA, Negro",210-AGMG,"$1,791.00","$1,229.00",$149.00,245
"Teclado Logitech Pop Keys, Teclado Mecánico, Inalámbrico, Menta/Violeta/Blanco/Amarillo (Español)",920-010714,"$1,801.00","$1,269.00",$99.00,2
"SSD Western Digital WD Blue SN570 NVMe, 1TB, PCI Express 3.0, M.2 ― Incluye Membresía 1 Mes de Adobe Creative Cloud",WDS100T3B0C,$982.00,$829.00,$99.00,293
"Teclado Gamer Logitech G915 TKL RGB, Teclado Mecánico, Switch GL Táctil, Inalámbrico, Blanco (Inglés)",920-009660,"$3,503.00","$2,829.00",$99.00,¡1
"HP Docking Station 5TW10AA USB-C, 4x USB 3.0, 1x USB-C, 1x HDMI/2x DisplayPort/1x RJ-45, Negro",5TW10AA,"$4,281.00","$2,719.00",$99.00,32
"Mousepad Gamer Ocelot Gaming OMP01, 35 x 25cm, Grosor 3mm, Negro",OMP01,$303.00,$127.00,$99.00,2463
"Tarjeta de Video Gigabyte NVIDIA GeForce GTX 1660 OC, 6GB 192-bit GDDR5, PCI Express x16 3.0",GV-N1660OC-6GD,"$6,353.00","$4,869.00",$99.00,2
"SSD PNY CS900, 240GB, SATA III, 2.5'', 7mm",D7CS900-240-RB,$540.00,$406.00,$99.00,29
"Tablet Samsung Galaxy Tab A7 Lite 8.7"", 32GB, Android 11, Plata",M-T220NZSAMXO,"$3,169.00","$2,279.00",$99.00,10
"Tarjeta Madre Gigabyte Micro ATX B550M DS3H AC Rev. 1.0, S-AM4, AMD B550, HDMI, 128GB DDR4 para AMD",B550M DS3H AC (REV. 1.0),"$2,122.00","$1,859.00",$99.00,232
"SSD Western Digital WD Green SN350 NVMe, 2TB, PCI Express, M.2",WDS200T3G0C,"$1,863.00","$1,409.00",$99.00,540
"SSD Samsung 980 NVMe, 500GB, PCI Express 3.0, M.2",MZ-V8V500B/AM,$834.00,$619.00,$99.00,28
"Astro Gaming Audífonos Gamer A10 para PS4/PS5/Xbox/PC/Mac, Alámbrico, 3.5mm, Negro/Azul",939-001594,"$1,078.00",$869.00,$99.00,79
"Teclado Gamer Ocelot Gaming Candy Blue 60 RGB, Teclado Mecánico, Switch Blue, Alámbrico, Azul/Morado (Inglés)",CANDY BLUE 60-OC,$595.00,$436.00,$99.00,313
"SSD Western Digital WD Black SN850X NVMe, 1TB, PCI Express 4.0, M.2",WDS100T2X0E,"$1,832.00","$1,399.00",$99.00,80
"Memoria RAM XPG Spectrix D60G Titanio RGB DDR4, 4133MHz, 8GB, Non-ECC, CL19, XMP, Gris",AX4U41338G19J-ST60,$736.00,$529.00,$99.00,10
"Corsair Audífonos Gamer HS35, Alámbrico, 1.1 Metros, 3.5mm, Negro/Azul",CA-9011196-NA,$634.00,$495.00,$99.00,153
"Memoria Flash SanDisk para Nintendo Switch, 256GB MicroSDXC Class 3 (U3)",DSQXAO-256G-GNCZN,$766.00,$509.00,$99.00,500
"Procesador AMD Ryzen 7 5700X, S-AM4, 3.40GHz, 8-Core, 32MB L3 Cache - no incluye Disipador",100-100000926WOF,"$3,366.00","$2,979.00",$99.00,25
Honeywell HF680-R1-2USB Lector de Código de Barras 2D - incluye Cables,HF680-R1-2USB,"$4,133.00","$2,779.00",$99.00,28
"Procesador Intel Core i5-11400F, S-1200, 2.60GHz, Six-Core, 12MB Smart Cache (11va Generación - Rocket Lake)",BX8070811400F,"$2,688.00","$2,229.00",$99.00,1387
"Memoria RAM Dell AB663419 DDR4, 3200MHz, 8GB, ECC — Fabricado por Socios Dell",AB663419,"$3,983.00","$1,669.00",$99.00,32
"Procesador AMD Ryzen 5 4600G Radeon Graphics, S-AM4, 3.70GHz, Six-Core, 8MB L3 Caché - con Disipador Wraith Stealth",100-100000147BOX,"$1,687.00","$1,499.00",$99.00,178
"Logitech Volante G920 Racing Wheel, Alámbrico, USB 2.0, para PC/Xbox One",941-000123,"$5,257.00","$3,959.00",$144.00,3
"Procesador Intel Core i9-10900, S-1200, 2.80GHz, 10 Core, 20MB, 10th Generation",BX8070110900,"$7,607.00","$5,209.00",$99.00,39
"Logitech Bocina WONDERBOOM 2, Bluetooth, Inalámbrico, Negro - Resistente al Agua",984-001554,"$1,771.00","$1,349.00",$99.00,57
"Tablet Lenovo Tab M7 Gen3 7"", 32GB, Android 11, Gris",ZA8C0009MX,"$2,832.00","$1,609.00",$99.00,285
"Tarjeta de Video Sapphire AMD Radeon RX 6500 XT,  4GB 64 bit GDDR6, PCI Express 4.0",11314-01-20G,"$3,655.00","$3,149.00",$99.00,27
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Negro",910-005281,"$1,270.00",$989.00,$99.00,16
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Azul",910-006013,"$1,222.00",$979.00,$99.00,21
"Teclado Gamer Logitech G213 Prodigy LED RGB, Alámbrico, Negro, (Inglés)",920-008084,"$1,241.00",$929.00,$99.00,9
"Dell 429-AAUQ Quemador de DVD, DVD±RW 8x, USB 2.0, Externo, Negro",429-AAUQ,$949.00,$639.00,$99.00,927
"Tarjeta Madre Gigabyte AORUS X507S Master, S-AM4, AMD X507, USB 3.2, 128GB DDR4 para AMD ― Requiere Actualización de BIOS para la Serie Ryzen 5000",X570S AORUS MASTER,"$8,004.00","$6,329.00",Envío gratis,10
"SSD XPG GAMMIX S11 Pro, 512GB, PCI Express 3.0 x4, M.2",AGAMMIXS11P-512GT-C,$678.00,$539.00,$99.00,53
"Procesador AMD Ryzen 7 5800X3D, S-AM4, 3.40GHz, 8-Core, 96MB L3 Cache - no incluye Disipador",100-100000651WOF,"$7,193.00","$5,909.00",$99.00,17
"Mouse Gamer Ergonómico EVGA Óptico X20, Inalámbrico, Bluetooth/USB-A, 16000DPI, Negro",903-T1-20BK-K3,"$1,557.00",$989.00,$99.00,186
"Kit Gamer 4 en 1 Naceb Back To The Wild Teclado + Mouse + Audífonos + Mousepad, Alámbrico, USB, Negro/Rojo (Español)",NA-0934,$721.00,$569.00,$99.00,4
"Mouse Logitech Óptico MX Anywhere 3, Recargable, Inalámbrico, USB, 4000DPI, Negro",910-005992,"$1,483.00","$1,159.00",$99.00,7
"Tarjeta Madre MSI Micro ATX A320M-A PRO, S-AM4, AMD A320, HDMI, 32GB DDR4 para AMD ― Requiere Actualización de BIOS para la Serie Ryzen 3000",A320M-A PRO,$956.00,$829.00,$99.00,54
"SSD Adata Ultimate SU800, 512GB, SATA III, 2.5'', 7mm",ASU800SS-512GT-C,$896.00,$689.00,$99.00,10
"Corsair Audífonos Gamer HS35, Alámbrico, 1.1 Metros, 3.5mm, Negro/Rojo",CA-9011198-NA,$602.00,$423.00,$99.00,3
"Logitech Audífonos Gamer G335 para PC/Xbox/PS4/Nintendo Switch, Alámbrico, 3.5mm, Negro",981-000977,"$1,359.00",$969.00,$99.00,13
"Monitor AOC 22B2HN LED 21.5"", Full HD, 75Hz, HDMI, Negro",22B2HN,"$2,148.00","$1,529.00",$144.00,154
"Procesador AMD Ryzen 9 5950X, S-AM4, 3.40GHz, 8MB L3 Cache - no incluye Disipador",100-100000059WOF,"$9,096.00","$7,699.00",$99.00,11
"Procesador AMD Ryzen 5 3600, S-AM4, 3.60GHz, Six-Core, 32MB L3 Cache - con Disipador Wraith Stealth",100-100000031SBX,"$2,182.00","$1,609.00",$99.00,87
"Mouse Gamer ASUS Óptico ROG KERIS P509, Alámbrico, USB, 16000DPI, Negro",90MP01R0-B0UA00,$899.00,$609.00,$99.00,149
"Procesador AMD Ryzen 7 5700G, S-AM4, 3.80GHz, 8-Core, 16MB L3 Caché - incluye Disipador Wraith Stealth",100-100000263BOX,"$3,190.00","$2,769.00",$99.00,13
"Procesador Intel Core i3-10105F, S-1200, 3.70GHz, Quad-Core, 6MB Smart Cache (10ma Generación - Comet Lake)",BX8070110105F,"$1,327.00","$1,139.00",$99.00,7
"Regulador Koblenz 00-1588-3, 1000W, 2250VA, Entrada 95-145V, Salida 108-132V, 8 Contactos",00-1588-3,$895.00,$699.00,$99.00,46
"SSD HP S650, 960GB, SATA III, 2.5""",345N0AA,$849.00,$649.00,$99.00,20
"Procesador AMD Ryzen 5 5600G con Gráficos Radeon 7, S-AM4, 3.90GHz, Six-Core, 16MB L3 Caché - incluye Disipador Wraith Stealth",100-100000252BOX,"$2,232.00","$1,939.00",$99.00,6
"Tarjeta de Video ASUS NVIDIA Phoenix GeForce RTX 3050 8G, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0HH2-M0NA00,"$5,986.00","$4,379.00",$99.00,4
"SSD XPG Spectrix S40G, 512GB, PCI Express 3.0, M.2",AS40G-512GT-C,$660.00,$539.00,$99.00,7
"SSD Samsung 970 EVO Plus NVMe, 500GB, M.2, PCI Express 3.0",MZ-V7S500B/AM,$885.00,$719.00,$99.00,26
"Procesador Intel Core i5-12400F, S-1700, 2.50GHz, Six-Core, 18MB Smart Cache (12va. Generación - Alder Lake)",BX8071512400F,"$3,181.00","$2,819.00",$99.00,149
"Logitech Bocinas con Subwoofer Z313, 2.1, 25W RMS, Negro",980-000401,"$1,559.00","$1,149.00",$99.00,40
"Disco Duro para Servidor Western Digital WD Ultrastar 4TB SATA III 7200RPM 3.5"" 6 Gbit/s",0B35950,"$4,528.00","$2,889.00",$99.00,3
"Mouse Logitech Óptico POP, Inalámbrico, 4000DPI, Violeta/Menta",910-006550,$598.00,$468.00,$99.00,3
"SSD Adata Ultimate SU630 QLC 3D, 960GB, SATA, 2.5"", 7mm",ASU630SS-960GQ-R,$704.00,$579.00,$99.00,417
"Procesador Intel Core i3-12100F, S-1700, 3.30GHz, Quad-Core, 12MB Smart Cache (12va.  Generación - Golden Cove)",BX8071512100F,"$1,923.00","$1,699.00",$99.00,13
"Procesador AMD Ryzen 3 3200G con Gráficos Radeon Vega 8, S-AM4, 3.60GHz, Quad-Core, 4MB L3, con Disipador Wraith Stealth",YD3200C5FHBOX,"$1,504.00","$1,269.00",$99.00,124
"Teclado Logitech Touch K400 Plus, Inalámbrico, USB, Negro (Español)",920-007123,$826.00,$629.00,$99.00,197
"Monitor Ghia MG2020 LED 19.5"", HD, HDMI, Negro",MNLG-23,"$1,865.00","$1,319.00",$144.00,490
"Cartucho Brother LC61C Cian, 325 Páginas",LC61C,$391.00,$221.00,$99.00,32
"Disco Duro para Laptop Toshiba L200 2.5'', 1TB, SATA III, 6Gbit/s, 5400RPM, 128MB Cache",HDWL110UZSVA,$816.00,$659.00,$99.00,53
"Vorago Silla Gamer CGC500, hasta 120kg, Negro/Rojo",CGC-500/RD,"$3,827.00","$3,139.00",$319.00,11
"Logitech Sistema de Bocinas con Subwoofer Z906, 5.1, 500W RMS, Negro",980-000474,"$7,655.00","$6,299.00",$209.00,141
"SSD Adata Ultimate SU800, 1TB, SATA III, 2.5'', 7mm",ASU800SS-1TT-C,"$1,432.00","$1,129.00",$99.00,123
"Jabra Adaptador LINK 260, USB Macho - QD, Negro",260-09,"$1,408.00",$498.00,$99.00,9
"Procesador AMD Ryzen 5 5600X, S-AM4, 3.70GHz, 32MB L3 Cache - incluye Disipador Wraith Stealth",100-100000065BOX,"$2,874.00","$2,469.00",$99.00,2
"DSC Gabinete para Panel de Control GMX003, Beige, para  PC1832/HS2032/HS2128",GMX-003,$561.00,$380.00,$99.00,1241
"Kit Gamer 4 en 1 Corsair Teclado K55 RGB Pro + Mouse Harpoon RGB Pro + Audífonos HS50 Pro + Mousepad MM100, Alámbrico, USB, Negro (Español)",CH-9226A65-SP,"$1,835.00","$1,389.00",$99.00,210
"Vorago Silla Gamer CGC500, hasta 120kg, Negro/Azul",CGC-500/BL,"$3,620.00","$3,009.00",$319.00,40
"Memoria Flash SanDisk SDSQXAO-512G-GNCZN, 512GB MicroSDXC Class 3 (U3), para Nintendo Switch",DSQXAO-512G-GNCZN,"$2,164.00",$909.00,$99.00,7
"SSD Samsung 970 EVO Plus NVMe, 2TB, PCI Express 3.0, M.2",MZ-V7S2T0B/AM,"$3,145.00","$2,169.00",$99.00,4
